Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly) 
 01/01  01:00:00,9761104.7920944,39466604.4906553,0.0 
 01/01  02:00:00,9761104.7920944,42899600.1014661,0.0 
 01/01  03:00:00,9761104.7920944,43469455.9199659,0.0 
 01/01  04:00:00,9761104.7920944,43477692.7304832,0.0 
 01/01  05:00:00,9761104.7920944,43087222.6284686,0.0 
 01/01  06:00:00,9761104.7920944,42708237.0079018,0.0 
 01/01  07:00:00,9761104.7920944,40264766.271773,0.0 
 01/01  08:00:00,9778072.7314944,39118199.014724,0.0 
 01/01  09:00:00,9778072.7314944,37293999.7530674,0.0 
 01/01  10:00:00,9778072.7314944,36898098.7232508,0.0 
 01/01  11:00:00,9778072.7314944,34803865.7881054,0.0 
 01/01  12:00:00,9778072.7314944,30871929.8435571,0.0 
 01/01  13:00:00,9778072.7314944,23838288.1957261,0.0 
 01/01  14:00:00,9778072.7314944,23325562.4545456,0.0 
 01/01  15:00:00,9778072.7314944,22115595.5359625,0.0 
 01/01  16:00:00,9778072.7314944,24623028.7392248,0.0 
 01/01  17:00:00,9778072.7314944,27340251.1206532,0.0 
 01/01  18:00:00,9778072.7314944,26639885.9626095,0.0 
 01/01  19:00:00,9778072.7314944,27860972.051604,0.0 
 01/01  20:00:00,9778072.7314944,28417701.4352343,0.0 
 01/01  21:00:00,9778072.7314944,28307170.9339107,0.0 
 01/01  22:00:00,9778072.7314944,29706114.1876043,0.0 
 01/01  23:00:00,9778072.7314944,31881293.5565862,0.0 
 01/01  24:00:00,9778072.7314944,32316007.5416837,0.0 
 01/02  01:00:00,9761104.7920944,33273794.9651814,0.0 
 01/02  02:00:00,9761104.7920944,34398396.1404379,0.0 
 01/02  03:00:00,9761104.7920944,35902825.4192673,0.0 
 01/02  04:00:00,9761104.7920944,37823319.0927169,0.0 
 01/02  05:00:00,9761104.7920944,36932294.6583232,0.0 
 01/02  06:00:00,9761104.7920944,40144410.2824093,0.0 
 01/02  07:00:00,9761104.7920944,43044683.1010754,0.0 
 01/02  08:00:00,9778072.7314944,44730701.0377592,0.0 
 01/02  09:00:00,9778072.7314944,45108261.5445122,0.0 
 01/02  10:00:00,9778072.7314944,34777737.3908231,0.0 
 01/02  11:00:00,9778072.7314944,23745394.8748099,0.0 
 01/02  12:00:00,9778072.7314944,14314408.2071385,0.0 
 01/02  13:00:00,9778072.7314944,10279795.3669343,0.0 
 01/02  14:00:00,9778072.7314944,9947425.27307876,0.0 
 01/02  15:00:00,9778072.7314944,9712643.07131968,0.0 
 01/02  16:00:00,9778072.7314944,10369951.9676172,0.0 
 01/02  17:00:00,9778072.7314944,11775444.3364938,0.0 
 01/02  18:00:00,9778072.7314944,13341110.4761709,0.0 
 01/02  19:00:00,9778072.7314944,14271805.5706953,0.0 
 01/02  20:00:00,9778072.7314944,14499777.5069969,0.0 
 01/02  21:00:00,9778072.7314944,15443851.3474316,0.0 
 01/02  22:00:00,9778072.7314944,18702382.3681941,0.0 
 01/02  23:00:00,9778072.7314944,20886091.3404685,0.0 
 01/02  24:00:00,9778072.7314944,21322955.6369101,0.0 
 01/03  01:00:00,9761104.7920944,21314855.1886092,0.0 
 01/03  02:00:00,9761104.7920944,17496041.3882143,0.0 
 01/03  03:00:00,9761104.7920944,16217187.1823955,0.0 
 01/03  04:00:00,9761104.7920944,17999136.1967442,0.0 
 01/03  05:00:00,9761104.7920944,21986135.0455104,0.0 
 01/03  06:00:00,9761104.7920944,816775439.476537,0.0 
 01/03  07:00:00,14346905.2545744,728623799.014795,2.444085151515151E-004 
 01/03  08:00:00,491776278.979594,838511022.074119,4.797188754545453E-002 
 01/03  09:00:00,450744818.978286,764276972.029143,6.680264650505051E-002 
 01/03  10:00:00,307385753.532112,789467884.92287,0.103975347393939 
 01/03  11:00:00,267788242.008895,704483522.066777,0.103975347393939 
 01/03  12:00:00,259155911.071664,625534531.394835,0.134665347393939 
 01/03  13:00:00,263811482.537004,589686192.929407,0.208148996949495 
 01/03  14:00:00,263085694.814352,547152556.684004,0.208148996949495 
 01/03  15:00:00,272945596.706119,563367263.309303,0.195800938878788 
 01/03  16:00:00,358127117.291405,509260513.519874,0.103242121848485 
 01/03  17:00:00,499076725.73256,325005421.615839,7.458981029292930E-002 
 01/03  18:00:00,485817047.84952,278827481.241825,3.717270088888888E-002 
 01/03  19:00:00,482700801.242074,252373857.652239,1.858635044444444E-002 
 01/03  20:00:00,168554793.242074,0.0,0.0 
